rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
54,0,54,0,2024-11-18_17:37:41.713987,,,,111.18682240042835,112.72118460014462,None,None,33.6,2.7,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
55,0,55,0,2024-11-18_17:37:43.711859,,,,113.18592230044305,114.72042350005358,None,None,33.6,2.4,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
56,0,56,0,2024-11-18_17:37:45.713438,,,,115.18613860011101,116.71950350049883,None,None,33.6,1.7,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
57,0,57,0,2024-11-18_17:37:47.709047,,,,117.18562570028007,118.72102930024266,None,None,33.6,1.7,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
58,0,58,0,2024-11-18_17:37:49.712348,,,,119.18680649995804,120.7190069006756,None,None,33.6,1.9,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
59,0,59,0,2024-11-18_17:37:51.708914,,,,121.1852271007374,122.71868330053985,None,None,33.7,2.3,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
60,0,60,0,2024-11-18_17:37:53.703487,,,,123.18247070070356,124.71931460034102,None,None,33.7,2.7,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
61,0,61,0,2024-11-18_17:37:55.711077,,,,125.18607410043478,126.72102300077677,None,None,33.7,2.8,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
62,0,62,0,2024-11-18_17:37:57.712661,,,,127.18710310012102,128.72019180003554,None,None,33.800000000000004,2.5,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
63,0,63,0,2024-11-18_17:37:59.709680,,,,129.18572960048914,130.71983630023897,None,None,33.800000000000004,3.0,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
