rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
25,0,25,0,2024-11-18_17:25:51.574484,,,,55.745267200283706,57.27997469995171,None,None,32.0,0.4,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
26,0,26,0,2024-11-18_17:25:53.572348,,,,57.744510100223124,59.28131819982082,None,None,32.2,11.3,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
27,0,27,0,2024-11-18_17:25:55.577188,,,,59.74754219967872,61.28081570006907,None,None,32.5,9.1,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
28,0,28,0,2024-11-18_17:25:57.576376,,,,61.746109399944544,63.278404200449586,None,None,32.7,13.3,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
29,0,29,0,2024-11-18_17:25:59.576717,,,,63.744524200446904,65.28152570035309,None,None,33.0,10.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
30,0,30,0,2024-11-18_17:26:01.579098,,,,65.7480477001518,67.28006920032203,None,None,33.300000000000004,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
31,0,31,0,2024-11-18_17:26:03.576687,,,,67.74608100019395,69.28223960008472,None,None,33.5,13.4,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
32,0,32,0,2024-11-18_17:26:05.579488,,,,69.74761029984802,71.27868620026857,None,None,33.800000000000004,18.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
33,0,33,0,2024-11-18_17:26:07.576944,,,,71.74467939976603,73.27885739970952,None,None,34.0,19.4,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
34,0,34,0,2024-11-18_17:26:09.576072,,,,73.74366230051965,75.27871740050614,None,None,34.300000000000004,17.6,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
35,0,35,0,2024-11-18_17:26:11.573542,,,,75.74391419999301,77.28001650050282,None,None,34.5,15.1,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
36,0,36,0,2024-11-18_17:26:13.573462,,,,77.74618799984455,79.28138769976795,None,None,34.7,35.7,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
37,0,37,0,2024-11-18_17:26:15.578444,,,,79.74673300050199,81.28141080029309,None,None,34.9,39.8,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
38,0,38,0,2024-11-18_17:26:17.577629,,,,81.74795180000365,83.27861999999732,None,None,35.1,8.7,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
39,0,39,0,2024-11-18_17:26:19.577254,,,,83.74379209987819,85.28018100000918,None,None,35.300000000000004,1.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
40,0,40,0,2024-11-18_17:26:21.577157,,,,85.74703660048544,87.27902050036937,None,None,35.4,13.6,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
41,0,41,0,2024-11-18_17:26:23.575286,,,,87.74559670034796,89.27773550059646,None,None,35.5,25.2,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
42,0,42,0,2024-11-18_17:26:25.570598,,,,89.74222530052066,91.277632500045,None,None,35.6,23.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
43,0,43,0,2024-11-18_17:26:27.573046,,,,91.74342240020633,93.27962080016732,None,None,35.7,28.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
